FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
157,205,Ilmalan asema,Ilmala station,Ilmala Station,Ilmalantori 1,Ilmalatorget 1,Helsinki,Helsingfors,CityBike Finland,16,24.9222198884301,60.2066264376914
158,206,Ruskeasuon varikko,Brunakärrs depå,Ruskeasuo depot,Mannerheimintie 117,Mannerheimvägen 117,Helsinki,Helsingfors,CityBike Finland,14,24.8986678906281,60.207679959617
159,207,Vanha Viertotie,Gamla chaussén,Vanha Viertotie,Vanha Viertotie 23,Gamla chaussén 23,Helsinki,Helsingfors,CityBike Finland,16,24.8816602543586,60.2110752962734
160,208,Valimotie,Gjuterivägen,Valimotie,Valimotie 1,Gjuterivägen 1,Helsinki,Helsingfors,CityBike Finland,16,24.8764647928285,60.2159222354368
161,209,Takomotie,Smedjevägen,Takomotie,Takomotie 29,Smedjevägen 29,Helsinki,Helsingfors,CityBike Finland,14,24.870539572355,60.2178545421326
162,210,Pajamäki,Smedjebacka,Pajamäki,Pajamäentie 12,Smedjebackavägen 12,Helsinki,Helsingfors,CityBike Finland,12,24.8556679547938,60.218807358015
163,211,Haagan tori,Haga torg,Haagan tori,Haagan tori 1,Haga torg 1,Helsinki,Helsingfors,CityBike Finland,16,24.8995511363568,60.2122752411325
164,212,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelitie 3,Tunnelvägen 3,Helsinki,Helsingfors,CityBike Finland,14,24.8995436957405,60.2166165374558
165,213,Huopalahden asema,Hoplaks station,Huopalahti Station,Huopalahden aseman itäinen raittisilta,Hoplaks stations östra järnvägsb,Helsinki,Helsingfors,CityBike Finland,20,24.8950593437384,60.2180885610192
166,214,Valimon asema,Gjuteriets station,Valimo Station,Valimopolku 3,Gjuteristigen 3,Helsinki,Helsingfors,CityBike Finland,20,24.8758709127461,60.2222942787705
167,215,Pitäjänmäen asema,Sockenbacka station,Pitäjänmäki Station,Pitäjänmäentie 21,Sockenbackavägen 21,Helsinki,Helsingfors,CityBike Finland,16,24.8586381246216,60.2243142880515
168,216,Jännetie,Bågsträngsvägen,Jännetie,Konalantie 6,Kånalavägen 6,Helsinki,Helsingfors,CityBike Finland,12,24.8535409588426,60.226769960916
169,217,Marttila,Martas,Marttila,Vihdintie 302,Vichtisvägen 302,Helsinki,Helsingfors,CityBike Finland,16,24.8732273654423,60.2271432338222
170,218,Pohjois-Haagan asema,Norra Haga station,Pohjois-Haaga Station,Pennikuja 2,Penninggränden 2,Helsinki,Helsingfors,CityBike Finland,16,24.8831288454642,60.2301514994965
171,219,Näyttelijäntie,Skådespelarvägen,Näyttelijäntie,Kaupintie 3,Krämärvägen 3,Helsinki,Helsingfors,CityBike Finland,16,24.8874345548174,60.232852137579
172,220,Ida Aalbergin tie,Ida Aalbergs väg,Ida Aalbergin tie,Näyttelijäntie 14,Skådespelarvägen 14,Helsinki,Helsingfors,CityBike Finland,14,24.892011409258,60.2294088233261
173,221,Thalianaukio,Thaliaplatsen,Thalianaukio,Aino Ackten tie 1,Aino Acktés väg 1,Helsinki,Helsingfors,CityBike Finland,16,24.8947926511603,60.2253405231587
174,222,Huovitie,Knektvägen,Huovitie,Huovitie 10,Knektvägen 10,Helsinki,Helsingfors,CityBike Finland,12,24.9032866466766,60.2219755355633
175,223,Hämeenlinnanväylä,Tavastehusleden,Hämeenlinnanväylä,Eliel Saarisen tie 2,Eliel Saarinens väg 2,Helsinki,Helsingfors,CityBike Finland,1,24.902905,60.227422
176,224,Vesakkotie,Snårvägen,Vesakkotie,Männikkötie 11,Talldungevägen 11,Helsinki,Helsingfors,CityBike Finland,12,24.9265647642638,60.2279423680567
177,225,Maunula,Månsas,Maunula,Pakilantie 9,Baggbölevägen 9,Helsinki,Helsingfors,CityBike Finland,16,24.9350488400963,60.2313198690757
178,226,Lepolantie,Lepolavägen,Lepolantie,Lepolantie 61,Lepolavägen 61,Helsinki,Helsingfors,CityBike Finland,14,24.9285950149938,60.2391089420057
179,227,Kylävoudintie,Byfogdevägen,Kylävoudintie,Kylävoudintie 6,Byfogdevägen 6,Helsinki,Helsingfors,CityBike Finland,14,24.9525612435897,60.2244037846517
180,228,Kustaankartano,Gustafsgård,Kustaankartano,Maapadontie 2,Jorddammsvägen 2,Helsinki,Helsingfors,CityBike Finland,20,24.9483891407923,60.2303917047945
181,229,Käskynhaltijantie,Ståthållarvägen,Käskynhaltijantie,Hirsipadontie,Timmerdammsvägen,Helsinki,Helsingfors,CityBike Finland,16,24.9587615297592,60.2326869159381
182,230,Mäkitorpantie,Kullatorpsvägen,Mäkitorpantie,Kylänvanhimmantie 29,Byäldstevägen 29,Helsinki,Helsingfors,CityBike Finland,1,24.962531,60.230141
183,231,Siltavoudintie,Brofogdegränd,Siltavoudintie,Käskynhaltijantie 22,Ståthållarvägen 22,Helsinki,Helsingfors,CityBike Finland,16,24.9653950777523,60.2337068563397
184,232,Oulunkylän asema,Åggelby station,Oulunkylä Station,Oulunkylänpolku,Åggelbystigen,Helsinki,Helsingfors,CityBike Finland,14,24.9676086063056,60.2286989543467
185,233,Kirkkoherrantie,Kyrkoherdevägen,Kirkkoherrantie,Kirkkoherrantie 5,Kyrkoherdevägen 5,Helsinki,Helsingfors,CityBike Finland,10,24.9728193751451,60.224930365111
186,234,Otto Brandtin tie,Otto Brandts väg,Otto Brandtin tie,Tulvaniityntie 2,Flödängsvägen 2,Helsinki,Helsingfors,CityBike Finland,16,24.9781389190405,60.2317840658415
187,235,Katariina Saksilaisen katu,Katarina av Sachsens gata,Katariina Saksilaisen katu,Katariina Saksilaisen katu 6,Katarina av Sachsens gata 6,Helsinki,Helsingfors,CityBike Finland,16,24.9844200783587,60.2172148079775
188,236,Hernepellontie,Ärtåkersvägen,Hernepellontie,Harjannetie 44,Krönvägen 44,Helsinki,Helsingfors,CityBike Finland,14,24.9886001154866,60.2242121410046
189,237,Aulangontie,Aulankovägen,Aulangontie,Harjannetie 2,Krönvägen 2,Helsinki,Helsingfors,CityBike Finland,16,24.9985338198606,60.2303019266391
190,238,Pihlajamäki,Rönnbacka,Pihlajamäki,Meripihkatie 3,Bärnstensvägen 3,Helsinki,Helsingfors,CityBike Finland,16,25.010313905081,60.2345785710341
