Selite_en,Longitude,Latitude,N_GK25,E_GK25,Name_fi,Name_en
daycare,25.03222,60.263287,6683407,25501784,Päiväkoti Jäkälä,Day care Jäkälä
daycare,24.875546,60.22917,6679613,25493103,Päiväkoti Lassi,Day care Lassi
daycare,25.026861,60.23099,6679809,25501488,Päiväkoti Pehtoori,Day care Pehtoori
daycare,24.879646,60.19783,6676120,25493324,Päiväkoti Munkkiniemen Montessori-leikkikoulu,Day care Munkkiniemen Montessori-leikkikoulu
daycare,25.015379,60.256615,6682663,25500851,Päiväkoti Kotinummi,Day care Kotinummi
daycare,24.855804,60.244396,6681311,25492013,Päiväkoti Apila,Day care Apila
daycare,24.958525,60.280586,6685335,25497705,Kartanonkosken päiväkoti,
daycare,24.820679,60.213947,6677923,25490059,Päiväkoti Pilke Tuulikello,
daycare,24.734903,60.176437,6673760,25485286,Länsiväylän kielikylpy,
daycare,24.67189,60.16383,6672371,25481782,Salamaja päiväkoti,
daycare,24.7116,60.215397,6678106,25484012,Metsämajan päiväkoti,
daycare,24.954767,60.205486,6676968,25497492,Päiväkoti Isoniitty,Day care Isoniitty
daycare,24.806664,60.214886,6678030,25489282,Ruusulinnan päiväkoti,
daycare,25.09484,60.216366,6678183,25505257,"Päiväkoti Viikinki, ryhmä Keltanot",
daycare,25.068752,60.272545,6684440,25503805,Päiväkoti Savotta,Day care Savotta
daycare,24.735382,60.21085,6677594,25485328,Sansinpellon päiväkoti,
daycare,24.947317,60.20544,6676963,25497079,Päiväkoti Sohvila,Day care Sohvila
daycare,24.626602,60.214676,6678049,25479300,Muurahaisen päiväkoti,
daycare,24.802635,60.217064,6678273,25489059,Montessori Lastentalo,
daycare,24.939838,60.242653,6681110,25496668,Päiväkoti Pakila,Day care Pakila
daycare,24.657398,60.19977,6676380,25480998,Kiltapuiston päiväkoti,
daycare,24.807877,60.262115,6683292,25489364,Päiväkoti Leijonanmieli,
daycare,25.074867,60.164745,6672430,25504157,Päiväkoti Puuskakulma,Day care Puuskakulma
